,user_id,person_id,age,height,n_strokes,province,education,n_languages,volleyball,table_tennis,favourite_movie
0,U000,P1,19.0,173.0,29.0,Shandong,High School,2.0,FALSE,TRUE,your name
1,U000,P2,18.0,190.0,24.0,Jiangsu,High School,2.0,TRUE,TRUE,Harry Potter
2,U000,P3,18.0,192.0,15.0,Hubei,High School,2.0,TRUE,TRUE,12 Angry Men
3,U000,P4,18.0,177.0,20.0,Shandong,High School,2.0,FALSE,TRUE,Weathering with you
4,U000,P5,19.0,173.0,36.0,Heilongjiang,High School,2.0,FALSE,TRUE,Twilight
5,U001,1,18.0,172.0,21.0,Hunan,Undergraduate Degree (UG),2.0,TRUE,FALSE,lalaland
24,U001,10,20.0,183.0,21.0,Tianjin,Undergraduate Degree (UG),3.0,FALSE,TRUE,The Legend of 1900
25,U001,11,19.0,168.0,23.0,Jiangsu,Undergraduate Degree (UG),3.0,FALSE,FALSE,Dead Poets Society
26,U001,12,19.0,172.0,8.0,Jiangxi,Undergraduate Degree (UG),2.0,FALSE,FALSE,The lion king
6,U001,2,16.0,158.0,17.0,Guangdong,High School,2.0,TRUE,TRUE,coco
7,U001,3,19.0,163.0,12.0,Guangdong,Undergraduate Degree (UG),2.0,FALSE,FALSE,Leon
9,U001,4,18.0,181.0,15.0,Guangdong,Undergraduate Degree (UG),3.0,FALSE,FALSE,Flipped
11,U001,5,20.0,168.0,20.0,Zhejiang,Undergraduate Degree (UG),4.0,TRUE,FALSE,Waterloo Bridge
13,U001,6,19.0,171.0,16.0,Guangdong,Undergraduate Degree (UG),2.0,TRUE,TRUE,Gone with the wind
21,U001,7,19.0,167.0,15.0,Shanghai,Undergraduate Degree (UG),3.0,FALSE,FALSE,Titanic
22,U001,8,26.0,169.0,16.0,Guangdong,Postgraduate/ Master’s Degree (PG),4.0,FALSE,FALSE,The Turman Show
23,U001,9,47.0,162.0,17.0,Guangdong,Doctorate degree (PhD),5.0,TRUE,TRUE,Invitus
8,U002,P1,20.0,178.0,21.0,Beijing,Undergraduate Degree (UG),3.0,TRUE,TRUE,Interstellar
20,U002,P10,19.0,174.0,27.0,Guangdong,Undergraduate Degree (UG),2.0,TRUE,TRUE,Forrest Gump
10,U002,P2,22.0,188.0,22.0,Guangdong,Undergraduate Degree (UG),3.0,TRUE,TRUE,Inception
12,U002,P3,18.0,172.0,27.0,Guangdong,Undergraduate Degree (UG),3.0,FALSE,FALSE,Primal
14,U002,P4,19.0,170.0,42.0,Guangdong,Undergraduate Degree (UG),3.0,FALSE,FALSE,Tenet
15,U002,P5,18.0,178.0,17.0,Guangdong,Undergraduate Degree (UG),2.0,FALSE,FALSE,The Shawshank Redemption
16,U002,P6,19.0,176.0,26.0,Guangdong,Undergraduate Degree (UG),3.0,TRUE,TRUE,Green Book
17,U002,P7,18.0,175.0,22.0,Guangdong,Undergraduate Degree (UG),3.0,FALSE,TRUE,Interstellar
18,U002,P8,18.0,179.0,32.0,Guangdong,Undergraduate Degree (UG),1.0,FALSE,TRUE,PacificRim
19,U002,P9,19.0,170.0,28.0,Guangdong,Undergraduate Degree (UG),2.0,TRUE,TRUE,Fast & Furious
27,U003,P1,25.0,165.0,8.0,Hongkong,Postgraduate/ Master’s Degree (PG),2.0,FALSE,FALSE,Fast&Furious
28,U003,P2,47.0,160.5,6.0,Gansu,Undergraduate Degree (UG),2.0,FALSE,FALSE,
30,U003,P3,19.0,175.5,8.0,Liaoning,Undergraduate Degree (UG),2.0,FALSE,FALSE,Boonie  bears
