车流量/（辆/分钟）,平均车速/(公里/小时),时间占有率/（%*100）
19,64,13
14,66,9
0,0,0
0,0,0
14,69,8
9,61,5
1,51,2
15,63,13
5,60,3
3,64,1
7,70,4
13,64,8
5,24,11
5,65,4
1,60,0
2,63,1
19,64,14
4,59,2
2,64,1
14,61,10
14,69,10
10,67,7
1,49,0
9,19,29
3,67,2
3,83,1
13,28,32
15,69,11
21,56,18
0,0,0
2,52,3
15,67,9
18,61,21
10,70,7
7,59,6
16,62,9
6,73,3
7,69,4
13,67,7
3,64,2
14,63,12
8,73,4
2,59,1
23,64,18
1,77,0
5,69,2
8,57,5
19,63,12
4,66,3
12,63,9
17,64,13
13,65,8
13,71,8
0,0,0
16,35,35
13,63,8
17,70,11
6,10,74
27,64,17
6,65,4
20,66,16
9,66,5
18,66,14
3,58,3
18,60,13
2,66,1
3,73,1
3,69,1
15,69,8
0,0,0
0,0,0
0,0,0
12,72,8
0,0,0
19,69,13
0,0,0
9,68,8
2,63,1
8,59,4
14,58,12
11,63,6
22,67,15
12,69,11
15,63,12
0,0,0
15,55,17
3,60,2
1,50,0
18,61,12
1,55,1
4,50,3
10,71,6
9,62,6
10,53,10
26,60,16
4,62,5
5,51,4
24,66,15
2,56,1
4,73,2
4,69,3
6,65,4
14,68,11
9,71,7
20,58,16
20,64,12
7,61,4
18,63,14
4,74,2
5,42,7
7,58,4
11,59,9
9,56,9
15,68,8
20,67,14
9,68,5
19,65,11
9,62,11
2,58,2
13,72,9
4,58,2
20,61,14
2,73,1
2,70,1
6,72,3
19,63,12
3,63,2
9,60,5
13,65,11
5,46,6
21,62,16
3,65,3
9,70,5
21,62,18
2,67,1
7,61,5
3,62,2
13,73,10
13,61,9
13,61,13
2,65,1
7,58,8
11,72,6
12,70,8
13,73,7
15,29,40
1,69,0
2,62,1
7,64,4
2,61,1
7,69,4
11,69,6
17,61,14
9,63,5
7,55,6
19,66,17
19,62,14
4,60,4
3,63,3
12,64,7
9,57,9
0,0,0
1,74,0
8,75,4
0,0,0
6,64,4
29,65,19
2,67,1
7,55,8
4,67,2
9,65,31
26,67,18
4,57,7
8,60,8
1,53,0
6,62,8
19,64,12
10,33,16
5,62,4
2,70,1
5,68,2
6,56,5
18,63,13
1,82,0
8,58,6
10,65,7
10,55,7
28,63,19
13,63,12
22,67,16
9,66,4
10,68,7
7,56,6
14,59,11
1,57,0
11,21,33
1,63,0
0,0,0
14,67,8
11,70,6
17,68,11
17,65,12
4,62,4
3,56,4
6,56,4
5,44,14
13,60,10
10,68,6
11,69,8
11,66,7
3,56,1
1,69,0
0,0,0
6,68,4
9,56,7
18,65,15
3,74,2
12,58,10
22,62,15
11,59,7
11,57,10
3,62,2
7,68,4
17,68,11
5,63,5
8,60,8
5,76,2
1,67,0
0,0,0
14,65,8
1,39,2
10,62,5
5,69,2
17,66,9
21,62,13
4,74,2
27,56,22
8,21,30
1,69,0
1,75,0
9,57,6
13,62,11
3,56,2
7,76,3
13,69,8
1,75,0
2,62,1
11,61,7
0,0,0
4,63,3
16,62,12
27,61,17
1,56,0
10,58,12
10,73,5
21,65,14
10,67,6
7,66,4
13,61,11
16,59,13
17,59,13
0,0,0
23,59,17
6,64,4
4,58,5
20,60,14
11,64,8
5,55,6
10,71,5
7,14,31
3,73,1
13,64,9
6,67,4
16,58,13
5,71,2
6,67,4
10,70,6
0,0,0
13,69,9
17,62,16
19,56,17
7,65,4
0,0,0
8,71,4
8,63,7
3,64,2
12,67,7
2,73,1
14,65,8
13,67,6
23,63,14
13,64,10
8,57,7
7,65,4
7,64,4
9,60,5
6,64,3
4,55,2
1,60,0
0,0,0
12,52,9
0,0,0
13,67,7
11,66,6
7,65,3
24,67,17
13,66,7
22,64,13
14,67,9
17,63,11
23,67,15
2,72,1
6,73,3
2,66,1
14,60,11
17,57,15
4,61,2
1,77,0
17,66,11
11,11,58
8,50,7
4,67,2
0,0,0
9,55,5
3,76,1
0,0,0
0,0,0
12,64,7
0,0,0
15,46,13
18,68,11
8,75,4
2,73,1
0,0,0
22,64,16
10,28,22
19,67,12
5,34,7
6,68,3
20,65,15
10,60,11
1,66,0
9,65,5
8,71,5
3,72,2
10,66,5
