order,action_type_DELIVERY
0,0
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,0
277,1
278,1
279,1
280,0
281,1
282,0
283,1
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,1
316,1
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,0
347,0
348,1
349,0
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,0
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,1
393,0
394,1
395,0
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,1
412,1
413,0
414,0
415,1
416,1
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,0
431,0
432,1
433,1
434,1
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,0
496,0
497,0
498,1
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,1
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,0
527,0
528,0
529,1
530,1
531,0
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,0
540,0
541,1
542,1
543,1
544,0
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,0
573,0
574,1
575,1
576,0
577,1
578,0
579,0
580,0
581,1
582,0
583,1
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,1
599,1
600,0
601,0
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,1
612,0
613,0
614,0
615,1
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,1
624,0
625,0
626,1
627,1
628,1
629,1
630,1
631,0
632,0
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,1
670,0
671,1
672,1
673,1
674,0
675,0
676,0
677,1
678,1
679,0
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,1
697,1
698,0
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,1
714,1
715,0
716,1
717,1
718,0
719,1
720,1
721,1
722,0
723,1
724,0
725,1
726,0
727,0
728,0
729,1
730,0
731,1
732,0
733,0
734,1
735,1
736,0
737,0
738,1
739,1
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,1
751,1
752,1
753,1
754,1
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,0
764,1
765,0
766,1
767,0
768,0
769,0
770,1
771,0
772,1
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,1
781,1
782,0
783,0
784,1
785,1
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,1
807,0
808,0
809,1
810,0
811,1
812,0
813,0
814,0
815,0
816,1
817,0
818,0
819,0
820,0
821,0
822,1
823,1
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,0
832,1
833,0
834,0
835,1
836,1
837,1
838,0
839,0
840,1
841,0
842,0
843,1
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,1
859,0
860,0
861,1
862,0
863,1
864,0
865,0
866,0
867,1
868,0
869,1
870,0
871,1
872,1
873,0
874,0
875,0
876,1
877,0
878,1
879,0
880,1
881,1
882,0
883,0
884,1
885,0
886,1
887,0
888,1
889,1
890,0
891,0
892,1
893,1
894,1
895,0
896,0
897,1
898,0
899,0
900,1
901,1
902,0
903,0
904,1
905,1
906,0
907,0
908,0
909,1
910,1
911,1
912,0
913,0
914,1
915,1
916,1
917,0
918,0
919,1
920,1
921,0
922,1
923,0
924,1
925,1
926,0
927,0
928,0
929,0
930,1
931,1
932,1
933,0
934,0
935,0
936,1
937,1
938,1
939,1
940,0
941,1
942,1
943,0
944,0
945,1
946,1
947,0
948,1
949,1
950,0
951,0
952,1
953,1
954,0
955,0
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,0
964,0
965,0
966,1
967,0
968,0
969,1
970,0
971,0
972,0
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,0
985,0
986,1
987,0
988,0
989,1
990,1
991,0
992,1
993,1
994,0
995,1
996,1
997,0
998,0
999,0
1000,1
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,1
1011,1
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,1
1055,0
1056,0
1057,0
1058,0
