标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
现房！地铁口，19万，买一层得两层,19,"
                    6865
                ",海吉星星座广场公寓,江南,2,27.68,南,,"[' ', '南北通透', '轨交房']"
合景天汇广场方正三房实惠,115,"
                    9735
                ",合景天汇广场,良庆,4,118.14,南,2018,"[' ', '南', '满二年', '近地铁', '车位充足']"
毛坯 朝向东南 89平 不满两年 楼层好 视野无遮挡,93,"
                    10450
                ",华润二十四城,良庆,3,89,东南,2010,"[' ', '东南', '房东直卖', '有电梯', '近地铁']"
青秀区凤岭北，单价9字头毗邻青秀万达，国企楼盘保障,127,"
                    10000
                ",北投上境,青秀,4,127,南,,"[' ', '大户型', '购物中心']"
电梯房 华润二十四城 满五年 3室 精装 诚心出售 价格可议,95,"
                    11579
                ",华润二十四城,良庆,3,82.05,南,2016,"[' ', '南', '满五年', '近地铁']"
华润 装修以白色为主，采光非常好，给人的感觉非常温馨,110,"
                    13096
                ",华润二十四城,良庆,3,84,南,2016,"[' ', '南', '满五年', '近地铁']"
青秀万达，9字头，送物业，一环内，高得房率，可以直接看实体,89,"
                    10000
                ",北投上境,青秀,3,89,南,,"[' ', '南北通透', '厨卫全明', '主卧套房', '购物中心']"
208万买2别墅送四个车位江南一线看江别墅送物业环境好,107,"
                    7483
                ",轨道御水江岸(新房),江南,6,143,南,,"[' ', '主卧套房', '户型方正', '购物中心', '车位充足']"
华星城 露台3房 二中,128,"
                    13988
                ",华星城,青秀,3,91.51,南,2001,"[' ', '南', '热门小区', '近地铁', '随时可看']"
双天桃 朝南四房 中层 全景摩天轮 荣和大地二组团 看房方便,156,"
                    13620
                ",荣和大地二组团阳光里,青秀,4,114.54,南,2016,"[' ', '南', '满五年', '车位充足', '多人关注']"
五象准现房，单价9288，桂雅新民，2号线地铁口，楼层可选,105,"
                    10500
                ",轨道云著,良庆,4,100,南,,"[' ', '南北通透', '厨卫全明', '大阳台', '轨交房']"
万科城南区户型好，业主诚意出售,140,"
                    12750
                ",万科城(南区),青秀,4,109.81,南,2018,"[' ', '南', '满二年', '车位充足']"
万科城南区楼层合适，采光好，未封窗，做了护栏，看小区外面,99,"
                    10880
                ",万科城(南区),青秀,3,91,西,2018,"[' ', '西', '满二年', '车位充足']"
地铁口精装四房出售 南宁之夜旁,140,"
                    12963
                ",万科金域中央,良庆,4,108,南,2019,"[' ', '南', '近地铁', '车位充足']"
华润二十四城 3房2厅110万,110,"
                    10900
                ",华润二十四城,良庆,3,100.92,南北,2016,"[' ', '南北', '满五年', '近地铁']"
万科金域蓝湾 89平 满五年 精装 3室 看房方便 有钥匙,132,"
                    14832
                ",万科金域蓝湾,良庆,3,89,南,2017,"[' ', '南', '价格优惠', '房东急售', '随时可看']"
全屋定制家具，保养九成新，东户看园林，看房方便,110,"
                    12360
                ",华润二十四城,良庆,3,89,南,2017,"[' ', '南', '满二年', '近地铁']"
无安置户 五象核心住宅区 国企品牌 单价9字头 新民加良玉,125,"
                    10000
                ",交投和顺青云台,良庆,4,125,北,,"[' ', '双卫生间', '双阳台', '主卧套房']"
双天桃 楼层 一梯两户 总高11层 荣和大地二组团 大四,138,"
                    11970
                ",荣和大地二组团阳光里,青秀,4,115.29,南,2016,"[' ', '南', '满五年', '车位充足', '多人关注']"
电梯房 豪装 盛科城小区 满五年 4室 房东急置换 诚心出售,139.8,"
                    11366
                ",盛科城,良庆,4,123,南,2023,"[' ', '南', '满五年', '近地铁', '次新房']"
青秀区！航洋万象！万科品质！园林小区！万科城！拎包入住,130,"
                    10065
                ",万科城(南区),青秀,4,129.17,东,2018,"[' ', '东', '有电梯', '车位充足', '多人关注']"
楼层 业主急售 荣和千千树 精装可做四房 看房方便,124,"
                    13508
                ",荣和千千树,青秀,4,91.8,东,2016,"[' ', '东', '房东直卖', '满二年', '人气热搜']"
锦光花苑 3房2厅139万,139.5,"
                    12176
                ",锦光花苑,青秀,3,114.57,北,2006,"[' ', '北', '热门小区', '南北通透', '配套成熟']"
金域中央全新精装三房 视野无遮挡俯瞰整个总部基地 卖110万,110,"
                    11341
                ",万科金域中央,良庆,3,97,南,2018,"[' ', '南', '满五年', '近地铁', '车位充足']"
凤岭北带入户花园 一梯一户纯板楼得房率超120%,165,"
                    15000
                ",邦泰璟和,青秀,3,110,东,,"[' ', '大户型']"
各付各费，荣和千千树4房精装，高层视野开阔，家具家电全送，拎,130,"
                    14131
                ",荣和千千树,青秀,4,92,南,2016,"[' ', '南', '满五年']"
户型方正 采光良好 高楼层 视野开阔 价格美丽,133,"
                    14479
                ",荣和千千树,青秀,4,91.86,南,2010,"[' ', '南', '满五年', '次新房']"
户型方正 南北通透 送大露台 居住舒服,153,"
                    12158
                ",荣和悦澜山,青秀,4,125.85,北,2015,"[' ', '北', '满五年', '多人关注']"
双天桃，荣和大地二精装四房，中间楼层，南北通透，随时看房,121,"
                    13616
                ",荣和大地二组团阳光里,青秀,4,88.87,南北,2012,"[' ', '南北', '满五年', '车位充足']"
水利厅宿舍 环境优美,168,"
                    13229
                ",广西水利厅宿舍(建政路),青秀,3,127,南,2015,"[' ', '南', '热门小区', '价格优惠', '房东急售']"
业主置换 急卖 滨湖路长虹 青秀凤岭北 万科物业好,110,"
                    11338
                ",万科城(北区),青秀,3,97.02,南,2019,"[' ', '南', '满五年']"
琅东客运站旁（唐樾青山）9600单价 送车位 三中,118,"
                    12041
                ",唐樾青山东方源林,青秀,3,98,东北,,"[' ', '客餐厅相连', '主卧套房', '厨卫全明', '购物中心']"
3室89平满二 西南朝向 房间明亮 毛坯,95,"
                    10675
                ",华润二十四城,良庆,3,89,南北,2016,"[' ', '南北', '满二年', '近地铁']"
华润二十四城128平4房2卫，精装没住过 急卖,160,"
                    12433
                ",华润二十四城,良庆,4,128.7,东南,2018,"[' ', '东南', '满五年', '近地铁']"
华润二十四城 4房2厅145万,145,"
                    12084
                ",华润二十四城,良庆,4,120,西,2018,"[' ', '西', '满二年', '近地铁']"
万科金域中央 看房有钥匙 近地铁 小区新 双卫 带电梯,161,"
                    11215
                ",万科金域中央,良庆,5,143.57,南北,2018,"[' ', '南北', '满二年', '近地铁', '车位充足']"
